,X,Y,Elevation,Distance,tau,geometry
0,664699.65661,3599484.15221,3738.0,10633.88960392955,3796683.2926661163,POINT (664699.6566099999 3599484.15221)
1,664729.65661,3599454.15221,3718.0,10591.463197058358,3767643.004986865,POINT (664729.6566099999 3599454.15221)
2,664759.65661,3599454.15221,3692.0,10561.463197058358,3747113.017488035,POINT (664759.6566099999 3599454.15221)
3,664789.65661,3599454.15221,3681.0,10531.463197058358,3726583.686370622,POINT (664789.6566099999 3599454.15221)
4,664819.65661,3599424.15221,3671.0,10489.036790187165,3697565.6651655114,POINT (664819.6566099999 3599424.15221)
5,664849.65661,3599424.15221,3659.0,10459.036790187165,3677047.480657488,POINT (664849.6566099999 3599424.15221)
6,664879.65661,3599394.15221,3633.0,10416.610383315972,3648044.2687024996,POINT (664879.6566099999 3599394.15221)
7,664909.65661,3599364.15221,3608.0,10374.18397644478,3619053.0686816606,POINT (664909.6566099999 3599364.15221)
8,664939.65661,3599334.15221,3603.0,10331.757569573587,3590065.5609365627,POINT (664939.6566099999 3599334.15221)
9,664969.65661,3599304.15221,3595.0,10289.331162702394,3561078.9759883806,POINT (664969.6566099999 3599304.15221)
10,664999.65661,3599274.15221,3589.0,10246.904755831201,3532988.8813738567,POINT (664999.6566099999 3599274.15221)
11,665029.65661,3599244.15221,3580.0,10204.478348960009,3504899.6081275754,POINT (665029.6566099999 3599244.15221)
12,665059.65661,3599214.15221,3574.0,10162.051942088816,3476826.743594738,POINT (665059.6566099999 3599214.15221)
13,665059.65661,3599184.15221,3567.0,10132.051942088816,3456987.2300827596,POINT (665059.6566099999 3599184.15221)
14,665059.65661,3599154.15221,3561.0,10102.051942088816,3437148.294859907,POINT (665059.6566099999 3599154.15221)
15,665059.65661,3599124.15221,3553.0,10072.051942088816,3417311.0941300276,POINT (665059.6566099999 3599124.15221)
16,665059.65661,3599094.15221,3547.0,10042.051942088816,3397475.04941691,POINT (665059.6566099999 3599094.15221)
17,665059.65661,3599064.15221,3544.0,10012.051942088816,3377640.160471153,POINT (665059.6566099999 3599064.15221)
18,665059.65661,3599034.15221,3541.0,9982.051942088816,3357805.84931558,POINT (665059.6566099999 3599034.15221)
19,665089.65661,3599004.15221,3530.0,9939.625535217623,3329756.714509628,POINT (665089.6566099999 3599004.15221)
20,665119.65661,3598974.15221,3524.0,9897.19912834643,3301709.2135005337,POINT (665119.6566099999 3598974.15221)
21,665149.65661,3598944.15221,3521.0,9854.772721475238,3274648.244456166,POINT (665149.6566099999 3598944.15221)
22,665149.65661,3598914.15221,3516.0,9824.772721475238,3255515.7783961664,POINT (665149.6566099999 3598914.15221)
23,665149.65661,3598884.15221,3511.0,9794.772721475238,3236390.385998397,POINT (665149.6566099999 3598884.15221)
24,665179.65661,3598854.15221,3505.0,9752.346314604045,3209344.4246617733,POINT (665179.6566099999 3598854.15221)
25,665179.65661,3598824.15221,3503.0,9722.346314604045,3193617.469073208,POINT (665179.6566099999 3598824.15221)
26,665209.65661,3598794.15221,3500.0,9679.919907732852,3171377.233227191,POINT (665209.6566099999 3598794.15221)
27,665239.65661,3598764.15221,3493.0,9637.49350086166,3149137.3433553698,POINT (665239.6566099999 3598764.15221)
28,665239.65661,3598734.15221,3484.0,9607.49350086166,3133415.0343345595,POINT (665239.6566099999 3598734.15221)
29,665239.65661,3598704.15221,3478.0,9577.49350086166,3117710.287348517,POINT (665239.6566099999 3598704.15221)
30,665239.65661,3598674.15221,3471.0,9547.49350086166,3102006.270538776,POINT (665239.6566099999 3598674.15221)
31,665209.65661,3598644.15221,3460.0,9505.067093990467,3079797.7811516128,POINT (665209.6566099999 3598644.15221)
32,665209.65661,3598614.15221,3449.0,9475.067093990467,3064107.8564241733,POINT (665209.6566099999 3598614.15221)
33,665179.65661,3598584.15221,3440.0,9432.640687119274,3041920.6670195283,POINT (665179.6566099999 3598584.15221)
34,665179.65661,3598554.15221,3436.0,9402.640687119274,3026244.5458973767,POINT (665179.6566099999 3598554.15221)
35,665179.65661,3598524.15221,3432.0,9372.640687119274,3010569.875172387,POINT (665179.6566099999 3598524.15221)
36,665179.65661,3598494.15221,3425.0,9342.640687119274,2994896.4127322175,POINT (665179.6566099999 3598494.15221)
37,665179.65661,3598464.15221,3420.0,9312.640687119274,2979223.4335094225,POINT (665179.6566099999 3598464.15221)
38,665179.65661,3598434.15221,3415.0,9282.640687119274,2963639.8580980627,POINT (665179.6566099999 3598434.15221)
39,665179.65661,3598404.15221,3410.0,9252.640687119274,2948056.519211332,POINT (665179.6566099999 3598404.15221)
40,665179.65661,3598374.15221,3400.0,9222.640687119274,2932473.416835938,POINT (665179.6566099999 3598374.15221)
41,665179.65661,3598344.15221,3392.0,9192.640687119274,2916890.550958591,POINT (665179.6566099999 3598344.15221)
42,665179.65661,3598314.15221,3384.0,9162.640687119274,2901309.1037904937,POINT (665179.6566099999 3598314.15221)
43,665209.65661,3598284.15221,3379.0051,9120.214280248081,2879313.9276507553,POINT (665209.6566099999 3598284.15221)
44,665209.65661,3598254.15221,3379.0,9090.214280248081,2864009.181713012,POINT (665209.6566099999 3598254.15221)
45,665209.65661,3598224.15221,3374.0,9060.214280248081,2848704.6570053226,POINT (665209.6566099999 3598224.15221)
46,665209.65661,3598194.15221,3369.0,9030.214280248081,2833408.309495102,POINT (665209.6566099999 3598194.15221)
47,665209.65661,3598164.15221,3361.0051,9000.214280248081,2818112.845037655,POINT (665209.6566099999 3598164.15221)
48,665209.65661,3598134.15221,3361.0,8970.214280248081,2802818.9254684756,POINT (665209.6566099999 3598134.15221)
49,665209.65661,3598104.15221,3356.0,8940.214280248081,2787525.22655046,POINT (665209.6566099999 3598104.15221)
50,665209.65661,3598074.15221,3353.0,8910.214280248081,2772251.996816178,POINT (665209.6566099999 3598074.15221)
51,665209.65661,3598044.15221,3348.0,8880.214280248081,2756978.9866298432,POINT (665209.6566099999 3598044.15221)
52,669259.65661,3598044.15221,4045.0103,13548.519471906067,4977831.767858236,POINT (669259.6566099999 3598044.15221)
53,665209.65661,3598014.15221,3342.0,8850.214280248081,2741720.8783470793,POINT (665209.6566099999 3598014.15221)
54,669259.65661,3598014.15221,4045.0051,13518.519471906067,4957355.997066834,POINT (669259.6566099999 3598014.15221)
55,665179.65661,3597984.15221,3337.0,8807.787873376888,2720144.8197897235,POINT (665179.6566099999 3597984.15221)
56,669259.65661,3597984.15221,4045.0,13488.519471906067,4936888.021072173,POINT (669259.6566099999 3597984.15221)
57,665179.65661,3597954.15221,3332.0,8777.787873376888,2704962.3555393214,POINT (665179.6566099999 3597954.15221)
58,669259.65661,3597954.15221,4038.0,13458.519471906067,4916420.694148095,POINT (669259.6566099999 3597954.15221)
59,665179.65661,3597924.15221,3329.0,8747.787873376888,2689780.106044613,POINT (665179.6566099999 3597924.15221)
60,669259.65661,3597924.15221,4031.0,13428.519471906067,4895955.962744448,POINT (669259.6566099999 3597924.15221)
61,665149.65661,3597894.15221,3321.0,8705.361466505696,2668319.1764308,POINT (665149.6566099999 3597894.15221)
62,669259.65661,3597894.15221,4025.0,13398.519471906067,4875602.334961665,POINT (669259.6566099999 3597894.15221)
63,665119.65661,3597864.15221,3307.0073,8662.935059634503,2646858.5499874,POINT (665119.6566099999 3597864.15221)
64,669229.65661,3597864.15221,4023.0,13356.093065034875,4846944.596621965,POINT (669229.6566099999 3597864.15221)
65,665149.65661,3597834.15221,3307.0,8620.50865276331,2625419.710229966,POINT (665149.6566099999 3597834.15221)
66,669169.65661,3597834.15221,4000.0,13283.666658163682,4798024.912520735,POINT (669169.6566099999 3597834.15221)
67,669199.65661,3597834.15221,4011.0,13313.666658163682,4818287.742803604,POINT (669199.6566099999 3597834.15221)
68,665149.65661,3597804.15221,3301.0,8590.50865276331,2610262.296335394,POINT (665149.6566099999 3597804.15221)
69,669139.65661,3597804.15221,3994.0,13241.24025129249,4769377.78177034,POINT (669139.6566099999 3597804.15221)
70,665149.65661,3597774.15221,3292.0,8560.50865276331,2595105.522747346,POINT (665149.6566099999 3597774.15221)
71,669109.65661,3597774.15221,3978.0,13198.813844421296,4740731.534329665,POINT (669109.6566099999 3597774.15221)
72,665149.65661,3597744.15221,3288.0,8530.50865276331,2579948.9625725513,POINT (665149.6566099999 3597744.15221)
73,669049.65661,3597744.15221,3950.0,13126.387437550104,4692137.305102381,POINT (669049.6566099999 3597744.15221)
74,669079.65661,3597744.15221,3960.0,13156.387437550104,4712264.264360499,POINT (669079.6566099999 3597744.15221)
75,665149.65661,3597714.15221,3282.0,8500.50865276331,2564803.48457876,POINT (665149.6566099999 3597714.15221)
76,668989.65661,3597714.15221,3926.0,13053.96103067891,4643615.942450339,POINT (668989.6566099999 3597714.15221)
77,669019.65661,3597714.15221,3936.0,13083.96103067891,4663696.741616249,POINT (669019.6566099999 3597714.15221)
78,665149.65661,3597684.15221,3277.0,8470.50865276331,2549658.432223806,POINT (665149.6566099999 3597684.15221)
79,668929.65661,3597684.15221,3907.0,12981.534623807718,4595210.666832241,POINT (668929.6566099999 3597684.15221)
80,668959.65661,3597684.15221,3917.0,13011.534623807718,4615219.969421597,POINT (668959.6566099999 3597684.15221)
81,665119.65661,3597654.15221,3275.0,8428.082245892117,2528298.1863811375,POINT (665119.6566099999 3597654.15221)
82,668899.65661,3597654.15221,3888.0,12939.108216936525,4566917.459003899,POINT (668899.6566099999 3597654.15221)
83,665089.65661,3597624.15221,3267.0,8385.655839020925,2506945.9794509383,POINT (665089.6566099999 3597624.15221)
84,668869.65661,3597624.15221,3872.0,12896.681810065333,4538651.199441689,POINT (668869.6566099999 3597624.15221)
85,665089.65661,3597594.15221,3257.0,8355.655839020925,2491848.7409293633,POINT (665089.6566099999 3597594.15221)
86,668749.65661,3597594.15221,3844.0,12764.25540319414,4450519.378956397,POINT (668749.6566099999 3597594.15221)
87,668779.65661,3597594.15221,3850.0,12794.25540319414,4470462.243847441,POINT (668779.6566099999 3597594.15221)
88,668809.65661,3597594.15221,3853.0,12824.25540319414,4490406.8776914505,POINT (668809.6566099999 3597594.15221)
89,668839.65661,3597594.15221,3870.0,12854.25540319414,4510389.982108698,POINT (668839.6566099999 3597594.15221)
90,665089.65661,3597564.15221,3255.0,8325.655839020925,2476752.76420023,POINT (665089.6566099999 3597564.15221)
91,668719.65661,3597564.15221,3832.0,12721.828996322947,4422321.7430084925,POINT (668719.6566099999 3597564.15221)
92,665119.65661,3597534.15221,3245.0,8283.229432149732,2455404.126526268,POINT (665119.6566099999 3597534.15221)
93,668689.65661,3597534.15221,3815.0,12679.402589451754,4394124.9401321085,POINT (668689.6566099999 3597534.15221)
94,665119.65661,3597504.15221,3238.0,8253.229432149732,2440309.200992613,POINT (665119.6566099999 3597504.15221)
95,668659.65661,3597504.15221,3796.0,12636.976182580562,4366043.875680313,POINT (668659.6566099999 3597504.15221)
96,665119.65661,3597474.15221,3235.0,8223.229432149732,2425221.626246526,POINT (665119.6566099999 3597474.15221)
97,668629.65661,3597474.15221,3775.0,12594.549775709369,4337966.092260235,POINT (668629.6566099999 3597474.15221)
98,665119.65661,3597444.15221,3233.0,8193.229432149732,2410135.7298204033,POINT (665119.6566099999 3597444.15221)
99,668599.65661,3597444.15221,3770.0,12552.123368838176,4310657.024858619,POINT (668599.6566099999 3597444.15221)
100,665119.65661,3597414.15221,3231.0,8163.229432149733,2395050.252866274,POINT (665119.6566099999 3597414.15221)
101,668569.65661,3597414.15221,3749.0,12509.696961966984,4283352.395969504,POINT (668569.6566099999 3597414.15221)
102,665119.65661,3597384.15221,3218.0073,8133.229432149733,2379965.4050391675,POINT (665119.6566099999 3597384.15221)
103,665239.65661,3597384.15221,3234.0073,8253.229432149732,2417539.471293576,POINT (665239.6566099999 3597384.15221)
104,665269.65661,3597384.15221,3234.0125,8283.229432149732,2428420.7978519043,POINT (665269.6566099999 3597384.15221)
105,665299.65661,3597384.15221,3237.0,8313.229432149732,2439310.9591365056,POINT (665299.6566099999 3597384.15221)
106,665329.65661,3597384.15221,3244.0,8343.229432149732,2450201.434197143,POINT (665329.6566099999 3597384.15221)
107,665359.65661,3597384.15221,3247.0,8373.229432149732,2461093.3530588383,POINT (665359.6566099999 3597384.15221)
108,665389.65661,3597384.15221,3250.0,8403.229432149732,2471986.7792514623,POINT (665389.6566099999 3597384.15221)
109,665449.65661,3597384.15221,3250.0146,8488.082245892117,2502803.908370471,POINT (665449.6566099999 3597384.15221)
110,665479.65661,3597384.15221,3252.0,8518.082245892117,2513705.1347638047,POINT (665479.6566099999 3597384.15221)
111,665509.65661,3597384.15221,3256.0,8548.082245892117,2524618.1003395612,POINT (665509.6566099999 3597384.15221)
112,668569.65661,3597384.15221,3744.0,12479.696961966984,4264080.026536903,POINT (668569.6566099999 3597384.15221)
113,665059.65661,3597354.15221,3217.0,8060.80302527854,2349061.8999399752,POINT (665059.6566099999 3597354.15221)
114,665089.65661,3597354.15221,3218.0,8090.80302527854,2358633.3947353438,POINT (665089.6566099999 3597354.15221)
115,665119.65661,3597354.15221,3218.0051,8120.80302527854,2369512.282326905,POINT (665119.6566099999 3597354.15221)
116,665149.65661,3597354.15221,3227.0,8150.80302527854,2380391.8576272223,POINT (665149.6566099999 3597354.15221)
117,665179.65661,3597354.15221,3233.0,8180.80302527854,2391271.5579827903,POINT (665179.6566099999 3597354.15221)
118,665209.65661,3597354.15221,3234.0,8210.80302527854,2402151.5709997723,POINT (665209.6566099999 3597354.15221)
119,665419.65661,3597354.15221,3250.0073,8445.655839020925,2487393.032261859,POINT (665419.6566099999 3597354.15221)
120,665539.65661,3597354.15221,3260.0,8590.50865276331,2540062.468924621,POINT (665539.6566099999 3597354.15221)
121,668479.65661,3597354.15221,3723.0,12377.27055509579,4198347.327710654,POINT (668479.6566099999 3597354.15221)
122,668509.65661,3597354.15221,3729.0,12407.27055509579,4217588.107834301,POINT (668509.6566099999 3597354.15221)
123,668539.65661,3597354.15221,3739.0,12437.27055509579,4236829.920635596,POINT (668539.6566099999 3597354.15221)
124,664909.65661,3597324.15221,3206.0051,7898.376618407347,2297255.263005537,POINT (664909.6566099999 3597324.15221)
125,664939.65661,3597324.15221,3207.0,7928.376618407347,2306819.7243021205,POINT (664939.6566099999 3597324.15221)
126,664969.65661,3597324.15221,3207.0051,7958.376618407347,2316384.302189742,POINT (664969.6566099999 3597324.15221)
127,664999.65661,3597324.15221,3208.0,7988.376618407347,2325955.1354084727,POINT (664999.6566099999 3597324.15221)
128,665029.65661,3597324.15221,3213.0,8018.376618407347,2335526.2023902982,POINT (665029.6566099999 3597324.15221)
129,665569.65661,3597324.15221,3264.0,8632.935059634503,2555507.2858991297,POINT (665569.6566099999 3597324.15221)
130,665599.65661,3597324.15221,3266.0,8662.935059634503,2566429.372098192,POINT (665599.6566099999 3597324.15221)
131,668449.65661,3597324.15221,3718.0,12334.844148224598,4171567.0349774775,POINT (668449.6566099999 3597324.15221)
132,664909.65661,3597294.15221,3206.0,7868.376618407347,2287693.6327721914,POINT (664909.6566099999 3597294.15221)
133,665629.65661,3597294.15221,3272.0,8705.361466505696,2581882.26833456,POINT (665629.6566099999 3597294.15221)
134,665659.65661,3597294.15221,3277.0,8735.361466505696,2592810.5777920866,POINT (665659.6566099999 3597294.15221)
135,668449.65661,3597294.15221,3712.0,12304.844148224598,4152631.96827147,POINT (668449.6566099999 3597294.15221)
136,664909.65661,3597264.15221,3203.0,7838.376618407347,2278132.041129078,POINT (664909.6566099999 3597264.15221)
137,665689.65661,3597264.15221,3279.0,8777.787873376888,2608265.9008604465,POINT (665689.6566099999 3597264.15221)
138,668419.65661,3597264.15221,3701.0,12262.417741353405,4125855.11619943,POINT (668419.6566099999 3597264.15221)
139,664819.65661,3597234.15221,3199.0,7735.950211536155,2245514.124699417,POINT (664819.6566099999 3597234.15221)
140,664849.65661,3597234.15221,3201.0,7765.950211536155,2255067.279634808,POINT (664849.6566099999 3597234.15221)
141,664879.65661,3597234.15221,3201.0051,7795.950211536155,2264620.4733779365,POINT (664879.6566099999 3597234.15221)
